Nr	Somali ord	Kilde	Wikipedia-treff	Godkjent?	Merknad
1427	MARKI	Afsoomali	61		
1428	QURXOON	Afsoomali	61		
1429	SAW	Afsoomali	61		
1430	SUD	Afsoomali	61		
1431	WEER	Afsoomali	61		
1432	BALWO	Afsoomali	60		
1433	BAS	Afsoomali	60		
1434	CAAFI	Afsoomali	60		
1435	CIQAAB	Afsoomali	60		
1436	DHABAR	Afsoomali + Kaikki	60		
1437	DUKAAN	Afsoomali	60		
1438	GAASHAAN	Afsoomali	60		
1439	GAB	Afsoomali	60		
1440	GALOOL	Afsoomali	60		
1441	RAD	Afsoomali	60		
1442	REEBBAN	Afsoomali	60		
1443	SHATI	Afsoomali	60		
1444	SUMAD	Afsoomali	60		
1445	XAG	Afsoomali	60		
1446	BAAR	Afsoomali	59		
1447	CUR	Afsoomali	59		
1448	DAMEER	Afsoomali + Kaikki	59		
1449	DANO	Afsoomali	59		
1450	DHAMMAAD	Afsoomali + Kaikki	59		
1451	DIBAD	Afsoomali	59		
1452	DOOLLO	Afsoomali	59		
1453	FIKIR	Afsoomali	59		
1454	FULIN	Afsoomali	59		
1455	ISIR	Afsoomali	59		
1456	JAY	Afsoomali	59		
1457	NAADIR	Afsoomali	59		
1458	SAHAN	Afsoomali	59		
1459	SAMO	Afsoomali	59		
1460	SANDUUQ	Afsoomali	59		
1461	SHIN	Afsoomali	59		
1462	SIGAAR	Afsoomali	59		
1463	SUUGO	Afsoomali	59		
1464	TIRAKOOB	Afsoomali	59		
1465	WAAL	Afsoomali	59		
1466	ALAN	Afsoomali	58		
1467	BAAHI	Afsoomali	58		
1468	BIXIYE	Afsoomali	58		
1469	BUUXIN	Afsoomali	58		
1470	DHEG	Afsoomali + Kaikki	58		
1471	DHUUBAN	Afsoomali	58		
1472	FADHI	Afsoomali + Kaikki	58		
1473	GARACAD	Afsoomali	58		
1474	GEERI	Afsoomali	58		
1475	GUJI	Afsoomali	58		
1476	IXTIRAAM	Afsoomali + Kaikki	58		
1477	NAQSHAD	Afsoomali	58		
1478	QALDAN	Afsoomali	58		
1479	TAXAN	Afsoomali	58		
1480	UKUN	Afsoomali + Kaikki	58		
1481	XAREED	Afsoomali	58		
1482	DAGO	Afsoomali	57		
1483	DAYO	Afsoomali	57		
1484	FAAHIN	Afsoomali	57		
1485	FATAH	Afsoomali	57		
1486	GADIID	Afsoomali	57		
1487	GASHAN	Afsoomali	57		
1488	GUDO	Afsoomali	57		
1489	KAB	Afsoomali + Kaikki	57		
1490	KHIYAANO	Afsoomali	57		
1491	MALYAN	Afsoomali	57		
1492	SHIIQ	Afsoomali	57		
1493	SUGE	Afsoomali	57		
1494	TAGTO	Afsoomali	57		
1495	WAN	Afsoomali	57		
1496	WARTA	Kaikki	57		
1497	BEERAN	Afsoomali	56		
1498	BENDER	Afsoomali	56		
1499	BOOLIIS	Afsoomali	56		
1500	CABBIR	Afsoomali	56		
